mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,power_to_weight_ratio
44.3,4,90.0,48.0,2085.0,21.7,80,2,vw rabbit c (diesel),43.4375
43.4,4,90.0,48.0,2335.0,23.7,80,2,vw dasher (diesel),48.645833333333336
36.4,5,121.0,67.0,2950.0,19.9,80,2,audi 5000s (diesel),44.02985074626866
30.0,4,146.0,67.0,3250.0,21.8,80,2,mercedes-benz 240d,48.507462686567166
44.6,4,91.0,67.0,1850.0,13.8,80,3,honda civic 1500 gl,27.611940298507463
33.8,4,97.0,67.0,2145.0,18.0,80,3,subaru dl,32.014925373134325
29.8,4,89.0,62.0,1845.0,15.3,80,2,vokswagen rabbit,29.758064516129032
32.7,6,168.0,132.0,2910.0,11.4,80,3,datsun 280-zx,22.045454545454547
23.7,3,70.0,100.0,2420.0,12.5,80,3,mazda rx-7 gs,24.2
35.0,4,122.0,88.0,2500.0,15.1,80,2,triumph tr7 coupe,28.40909090909091
32.4,4,107.0,72.0,2290.0,17.0,80,3,honda accord,31.805555555555557
27.2,4,135.0,84.0,2490.0,15.7,81,1,plymouth reliant,29.642857142857142
26.6,4,151.0,84.0,2635.0,16.4,81,1,buick skylark,31.36904761904762
25.8,4,156.0,92.0,2620.0,14.4,81,1,dodge aries wagon (sw),28.47826086956522
23.5,6,173.0,110.0,2725.0,12.6,81,1,chevrolet citation,24.772727272727273
30.0,4,135.0,84.0,2385.0,12.9,81,1,plymouth reliant,28.392857142857142
39.1,4,79.0,58.0,1755.0,16.9,81,3,toyota starlet,30.25862068965517
39.0,4,86.0,64.0,1875.0,16.4,81,1,plymouth champ,29.296875
35.1,4,81.0,60.0,1760.0,16.1,81,3,honda civic 1300,29.333333333333332
32.3,4,97.0,67.0,2065.0,17.8,81,3,subaru,30.82089552238806
37.0,4,85.0,65.0,1975.0,19.4,81,3,datsun 210 mpg,30.384615384615383
37.7,4,89.0,62.0,2050.0,17.3,81,3,toyota tercel,33.064516129032256
34.1,4,91.0,68.0,1985.0,16.0,81,3,mazda glc 4,29.191176470588236
34.7,4,105.0,63.0,2215.0,14.9,81,1,plymouth horizon 4,35.15873015873016
34.4,4,98.0,65.0,2045.0,16.2,81,1,ford escort 4w,31.46153846153846
29.9,4,98.0,65.0,2380.0,20.7,81,1,ford escort 2h,36.61538461538461
33.0,4,105.0,74.0,2190.0,14.2,81,2,volkswagen jetta,29.594594594594593
33.7,4,107.0,75.0,2210.0,14.4,81,3,honda prelude,29.466666666666665
32.4,4,108.0,75.0,2350.0,16.8,81,3,toyota corolla,31.333333333333332
32.9,4,119.0,100.0,2615.0,14.8,81,3,datsun 200sx,26.15
31.6,4,120.0,74.0,2635.0,18.3,81,3,mazda 626,35.608108108108105
28.1,4,141.0,80.0,3230.0,20.4,81,2,peugeot 505s turbo diesel,40.375
30.7,6,145.0,76.0,3160.0,19.6,81,2,volvo diesel,41.578947368421055
25.4,6,168.0,116.0,2900.0,12.6,81,3,toyota cressida,25.0
24.2,6,146.0,120.0,2930.0,13.8,81,3,datsun 810 maxima,24.416666666666668
22.4,6,231.0,110.0,3415.0,15.8,81,1,buick century,31.045454545454547
26.6,8,350.0,105.0,3725.0,19.0,81,1,oldsmobile cutlass ls,35.476190476190474
20.2,6,200.0,88.0,3060.0,17.1,81,1,ford granada gl,34.77272727272727
17.6,6,225.0,85.0,3465.0,16.6,81,1,chrysler lebaron salon,40.76470588235294
28.0,4,112.0,88.0,2605.0,19.6,82,1,chevrolet cavalier,29.602272727272727
27.0,4,112.0,88.0,2640.0,18.6,82,1,chevrolet cavalier wagon,30.0
34.0,4,112.0,88.0,2395.0,18.0,82,1,chevrolet cavalier 2-door,27.21590909090909
31.0,4,112.0,85.0,2575.0,16.2,82,1,pontiac j2000 se hatchback,30.294117647058822
29.0,4,135.0,84.0,2525.0,16.0,82,1,dodge aries se,30.05952380952381
27.0,4,151.0,90.0,2735.0,18.0,82,1,pontiac phoenix,30.38888888888889
24.0,4,140.0,92.0,2865.0,16.4,82,1,ford fairmont futura,31.141304347826086
36.0,4,105.0,74.0,1980.0,15.3,82,2,volkswagen rabbit l,26.756756756756758
37.0,4,91.0,68.0,2025.0,18.2,82,3,mazda glc custom l,29.779411764705884
31.0,4,91.0,68.0,1970.0,17.6,82,3,mazda glc custom,28.970588235294116
38.0,4,105.0,63.0,2125.0,14.7,82,1,plymouth horizon miser,33.73015873015873
36.0,4,98.0,70.0,2125.0,17.3,82,1,mercury lynx l,30.357142857142858
36.0,4,120.0,88.0,2160.0,14.5,82,3,nissan stanza xe,24.545454545454547
36.0,4,107.0,75.0,2205.0,14.5,82,3,honda accord,29.4
34.0,4,108.0,70.0,2245.0,16.9,82,3,toyota corolla,32.07142857142857
38.0,4,91.0,67.0,1965.0,15.0,82,3,honda civic,29.328358208955223
32.0,4,91.0,67.0,1965.0,15.7,82,3,honda civic (auto),29.328358208955223
38.0,4,91.0,67.0,1995.0,16.2,82,3,datsun 310 gx,29.776119402985074
25.0,6,181.0,110.0,2945.0,16.4,82,1,buick century limited,26.772727272727273
38.0,6,262.0,85.0,3015.0,17.0,82,1,oldsmobile cutlass ciera (diesel),35.470588235294116
26.0,4,156.0,92.0,2585.0,14.5,82,1,chrysler lebaron medallion,28.097826086956523
22.0,6,232.0,112.0,2835.0,14.7,82,1,ford granada l,25.3125
32.0,4,144.0,96.0,2665.0,13.9,82,3,toyota celica gt,27.760416666666668
36.0,4,135.0,84.0,2370.0,13.0,82,1,dodge charger 2.2,28.214285714285715
27.0,4,151.0,90.0,2950.0,17.3,82,1,chevrolet camaro,32.77777777777778
27.0,4,140.0,86.0,2790.0,15.6,82,1,ford mustang gl,32.44186046511628
44.0,4,97.0,52.0,2130.0,24.6,82,2,vw pickup,40.96153846153846
32.0,4,135.0,84.0,2295.0,11.6,82,1,dodge rampage,27.321428571428573
28.0,4,120.0,79.0,2625.0,18.6,82,1,ford ranger,33.22784810126582
31.0,4,119.0,82.0,2720.0,19.4,82,1,chevy s-10,33.170731707317074
